vertex_num,face_num
25763,49586
5227,9544
6534,11985
4695,8806
15049,28906
8719,16398
13041,24416
6704,12420
12256,23646
7679,14064
16764,31808
6075,11494
8324,15390
11130,20422
5637,10201
11313,21729
15357,28896
19194,35568
11741,21275
7137,13630
10508,19983
15602,28978
10766,20150
15435,29062
11868,21480
5669,10746
18163,34477
29931,58168
3039,5480
10395,19191
4942,8951
3675,6800
7585,13514
6835,13183
12241,22979
18920,35888
8445,15112
10266,19086
19133,35235
13676,25866
17451,32914
12541,24112
9210,17126
18082,33546
14995,27860
16518,31364
15267,29097
24821,48224
17379,32817
9955,19291
15529,29182
15684,28891
8022,14946
7294,13674
20811,38334
21122,39970
10646,19758
19364,36320
2544,4526
6305,11842
12677,24135
16067,29312
16971,30955
7784,14394
8511,16356
23244,43723
19116,35951
3382,5988
9110,17052
8609,15728
8703,16194
21004,39114
23591,45042
16799,31595
8997,17401
3791,6880
11766,21972
6515,12488
8625,15875
31289,60236
19884,38776
10802,19568
15681,29230
14015,26912
19963,37707
14318,26858
8886,16344
20623,38716
12472,23326
19718,36359
44142,83684
6501,12360
5078,8988
19958,37422
6604,12288
9565,17782
17927,34605
2941,5090
7866,14886
14352,26894
8749,15892
16462,30525
4428,8012
24772,47436
6370,11454
46680,89413
13853,26699
13167,24402
5987,10616
8977,16670
11820,22941
5570,10219
10198,19620
9725,18526
18401,33978
6277,11529
16228,30384
9028,16682
8540,15450
11538,21967
23069,42334
21104,40106
9577,18220
14159,26414
30543,59215
16547,31194
21023,39359
15748,29636
21744,42015
4355,7565
8812,16034
9530,17051
27597,52773
5472,9984
8697,15750
5755,10658
26787,49642
2696,4823
6707,12418
11017,21219
17823,33842
7873,14346
12001,21738
5609,10524
5223,9806
20045,38017
12884,23690
11524,22262
7564,13578
20163,38147
3868,7040
12498,23950
16662,31111
28912,55397
5041,9460
4224,7616
8814,15847
30409,58438
11357,20714
8945,16647
15065,28406
23358,43739
6310,11884
14764,28235
14237,27209
17637,33164
25795,49108
6585,11826
16845,31488
10576,19934
13928,24988
5867,10940
9822,19021
25804,47364
3652,6724
17319,32219
10844,20472
11253,20423
6010,11388
7159,13556
24162,46079
17702,33936
11894,22474
7613,14378
21437,39979
9114,16911
19256,36101
22662,43714
18100,33912
16181,30420
9283,17904
4768,8965
22762,44458
12645,23404
23901,43339
18014,34590
3498,6434
19831,37799
7719,14580
29056,54998
12828,23877
3980,7336
9245,16875
9436,17970
16937,31999
9820,18146
25874,49109
4192,7676
3559,6454
21437,39979
5492,10372
8764,16206
19900,37495
3818,6850
8015,15444
6745,12804
12206,23022
22778,43934
35266,67925
14231,26232
30225,58251
22620,43372
8049,15098
3190,5768
2061,3438
12108,22866
9511,17042
51814,100862
12022,22260
6826,12494
3015,5434
12707,24506
23358,44775
14421,27714
6209,11292
14432,26450
18392,34811
12406,23834
19893,37104
26641,51691
7638,14613
15341,28479
23152,43698
22662,43714
7699,13596
10859,20570
42545,81506
15694,29212
6980,13160
20354,37442
19801,37375
10319,19325
7057,12876
24268,45840
10397,18780
11036,20402
7739,14472
4702,8599
5333,9826
25803,49796
16877,31350
6587,12628
11086,20772
9739,18272
20354,37442
23831,45810
15736,28590
12230,22842
10634,19164
10890,19891
5330,10006
21227,39930
24358,46276
13038,25276
10419,18948
16363,30752
25495,47150
12735,24016
3015,5442
30087,59016
6029,10985
10923,21152
10692,19992
1505,2566
6510,11566
7145,12680
26395,49159
5046,9483
10268,19154
21897,41716
9417,17428
13200,24428
10182,18788
8189,15853
26355,50858
17417,31744
17419,32350
5055,8682
7599,14128
4986,8932
42243,82284
8649,16104
28485,54597
27914,53758
18152,35310
11226,21756
